case:concept:name,CustomerID,BankerID,Loan Amount,Interest Rate,lifecycle:transition,Activity,EmpCntDa,CusToMo,EmpToMo,AVGIR,CusMoID,EmpMoID,EmpDayID
7,6,73,51994,0,7.1.2020,Cancel Request,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
8,2,72,0,0,7.1.2020,Request Loan,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
8,2,72,0,0,7.1.2020,Check Employee Eligibility,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
8,2,72,40476,0,7.1.2020,Record Loan Application Information,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
8,2,72,40476,0,7.1.2020,Check Amount Legality,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
8,2,72,40476,0,7.1.2020,Client Assessment,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
8,2,72,40476,0,7.1.2020,Cancel Request,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
9,2,72,0,0,7.1.2020,Request Loan,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
9,2,72,0,0,7.1.2020,Check Employee Eligibility,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
9,2,72,30413,0,7.1.2020,Record Loan Application Information,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
9,2,72,30413,0,7.1.2020,Check Amount Legality,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
9,2,72,30413,0,7.1.2020,Client Assessment,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
9,2,72,30413,0,7.1.2020,Cancel Request,0,0,0,0,Customer2-1,Banker72-1,Banker72-17
10,2,73,0,0,7.1.2020,Request Loan,2,0,83537,6,Customer2-1,Banker73-1,Banker73-17
10,2,73,0,0,7.1.2020,Check Employee Eligibility,2,0,83537,6,Customer2-1,Banker73-1,Banker73-17
10,2,73,36338,0,7.1.2020,Record Loan Application Information,2,0,83537,6,Customer2-1,Banker73-1,Banker73-17
10,2,73,36338,0,7.1.2020,Check Amount Legality,2,0,83537,6,Customer2-1,Banker73-1,Banker73-17
10,2,73,36338,0,7.1.2020,Client Assessment,2,0,83537,6,Customer2-1,Banker73-1,Banker73-17
10,2,73,36338,0,7.1.2020,Cancel Request,2,0,83537,6,Customer2-1,Banker73-1,Banker73-17
11,3,72,0,0,7.1.2020,Request Loan,0,0,0,0,Customer3-1,Banker72-1,Banker72-17
11,3,72,0,0,7.1.2020,Check Employee Eligibility,0,0,0,0,Customer3-1,Banker72-1,Banker72-17
11,3,72,46250,0,7.1.2020,Record Loan Application Information,0,0,0,0,Customer3-1,Banker72-1,Banker72-17
11,3,72,46250,0,7.1.2020,Check Amount Legality,0,0,0,0,Customer3-1,Banker72-1,Banker72-17
11,3,72,46250,0,7.1.2020,Client Assessment,0,0,0,0,Customer3-1,Banker72-1,Banker72-17
11,3,72,46250,0,7.1.2020,Cancel Request,0,0,0,0,Customer3-1,Banker72-1,Banker72-17
12,2,72,0,0,8.1.2020,Request Loan,0,0,0,0,Customer2-1,Banker72-1,Banker72-18
12,2,72,0,0,8.1.2020,Check Employee Eligibility,0,0,0,0,Customer2-1,Banker72-1,Banker72-18
12,2,72,53599,0,8.1.2020,Record Loan Application Information,0,0,0,0,Customer2-1,Banker72-1,Banker72-18
12,2,72,53599,0,8.1.2020,Check Amount Legality,0,0,0,0,Customer2-1,Banker72-1,Banker72-18
12,2,72,53599,0,8.1.2020,Client Assessment,0,0,0,0,Customer2-1,Banker72-1,Banker72-18
12,2,72,53599,5,8.1.2020,Setup Loan Contract,0,0,0,0,Customer2-1,Banker72-1,Banker72-18
12,2,72,53599,5,8.1.2020,Check Interest Rate Average,0,0,0,0,Customer2-1,Banker72-1,Banker72-18
12,2,72,53599,5,8.1.2020,Sign Loan Contract,0,0,0,0,Customer2-1,Banker72-1,Banker72-18
12,2,72,53599,5,8.1.2020,disbursement,1,53599,53599,5,Customer2-1,Banker72-1,Banker72-18
13,3,73,0,0,8.1.2020,Request Loan,0,0,83537,6,Customer3-1,Banker73-1,Banker73-18
13,3,73,0,0,8.1.2020,Check Employee Eligibility,0,0,83537,6,Customer3-1,Banker73-1,Banker73-18
13,3,73,44384,0,8.1.2020,Record Loan Application Information,0,0,83537,6,Customer3-1,Banker73-1,Banker73-18
13,3,73,44384,0,8.1.2020,Check Amount Legality,0,0,83537,6,Customer3-1,Banker73-1,Banker73-18
13,3,73,44384,0,8.1.2020,Client Assessment,0,0,83537,6,Customer3-1,Banker73-1,Banker73-18
13,3,73,44384,0,8.1.2020,Cancel Request,0,0,83537,6,Customer3-1,Banker73-1,Banker73-18
14,1,72,0,0,8.1.2020,Request Loan,1,44815,53599,5,Customer1-1,Banker72-1,Banker72-18
14,1,72,0,0,8.1.2020,Check Employee Eligibility,1,44815,53599,5,Customer1-1,Banker72-1,Banker72-18
14,1,72,28931,0,8.1.2020,Record Loan Application Information,1,44815,53599,5,Customer1-1,Banker72-1,Banker72-18
14,1,72,28931,0,8.1.2020,Check Amount Legality,1,44815,53599,5,Customer1-1,Banker72-1,Banker72-18
14,1,72,28931,0,8.1.2020,Client Assessment,1,44815,53599,5,Customer1-1,Banker72-1,Banker72-18
14,1,72,28931,0,8.1.2020,Cancel Request,1,44815,53599,5,Customer1-1,Banker72-1,Banker72-18
15,2,73,0,0,8.1.2020,Request Loan,0,53599,83537,0,Customer2-1,Banker73-1,Banker73-18
15,2,73,0,0,8.1.2020,Check Employee Eligibility,0,53599,83537,0,Customer2-1,Banker73-1,Banker73-18
15,2,73,29520,0,8.1.2020,Record Loan Application Information,0,53599,83537,0,Customer2-1,Banker73-1,Banker73-18
15,2,73,29520,0,8.1.2020,Check Amount Legality,0,53599,83537,0,Customer2-1,Banker73-1,Banker73-18
15,2,73,29520,0,8.1.2020,Client Assessment,0,53599,83537,0,Customer2-1,Banker73-1,Banker73-18
15,2,73,29520,0,8.1.2020,Cancel Request,0,53599,83537,0,Customer2-1,Banker73-1,Banker73-18
16,6,72,0,0,8.1.2020,Request Loan,1,38722,53599,5,customer6-1,Banker72-1,Banker72-18
16,6,72,0,0,8.1.2020,Check Employee Eligibility,1,38722,53599,5,customer6-1,Banker72-1,Banker72-18
16,6,72,55585,0,8.1.2020,Record Loan Application Information,1,38722,53599,5,customer6-1,Banker72-1,Banker72-18
16,6,72,55585,0,8.1.2020,Check Amount Legality,1,38722,53599,5,customer6-1,Banker72-1,Banker72-18
16,6,72,55585,0,8.1.2020,Client Assessment,1,38722,53599,5,customer6-1,Banker72-1,Banker72-18
16,6,72,55585,0,8.1.2020,Cancel Request,1,38722,53599,5,customer6-1,Banker72-1,Banker72-18
17,4,72,0,0,8.1.2020,Request Loan,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
17,4,72,0,0,8.1.2020,Check Employee Eligibility,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
17,4,72,51367,0,8.1.2020,Record Loan Application Information,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
17,4,72,51367,0,8.1.2020,Check Amount Legality,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
17,4,72,51367,0,8.1.2020,Client Assessment,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
17,4,72,51367,0,8.1.2020,Cancel Request,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
18,4,72,0,0,8.1.2020,Request Loan,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
18,4,72,0,0,8.1.2020,Check Employee Eligibility,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
18,4,72,49631,0,8.1.2020,Record Loan Application Information,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
18,4,72,49631,0,8.1.2020,Check Amount Legality,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
18,4,72,49631,0,8.1.2020,Client Assessment,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
18,4,72,49631,0,8.1.2020,Cancel Request,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
19,4,72,0,0,8.1.2020,Request Loan,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
19,4,72,0,0,8.1.2020,Check Employee Eligibility,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
19,4,72,38908,0,8.1.2020,Record Loan Application Information,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
19,4,72,38908,0,8.1.2020,Check Amount Legality,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
19,4,72,38908,0,8.1.2020,Client Assessment,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
19,4,72,38908,0,8.1.2020,Cancel Request,1,0,53599,5,Customer4-1,Banker72-1,Banker72-18
20,5,73,0,0,8.1.2020,Request Loan,0,0,83537,6,Customer5-1,Banker73-1,Banker73-18
20,5,73,0,0,8.1.2020,Check Employee Eligibility,0,0,83537,6,Customer5-1,Banker73-1,Banker73-18
20,5,73,44824,0,8.1.2020,Record Loan Application Information,0,0,83537,6,Customer5-1,Banker73-1,Banker73-18
20,5,73,44824,0,8.1.2020,Check Amount Legality,0,0,83537,6,Customer5-1,Banker73-1,Banker73-18
20,5,73,44824,0,8.1.2020,Client Assessment,0,0,83537,6,Customer5-1,Banker73-1,Banker73-18
20,5,73,44824,0,8.1.2020,Cancel Request,0,0,83537,6,Customer5-1,Banker73-1,Banker73-18
21,6,72,0,0,9.1.2020,Request Loan,0,38722,53599,5,customer6-1,Banker72-1,Banker72-19
21,6,72,0,0,9.1.2020,Check Employee Eligibility,0,38722,53599,5,customer6-1,Banker72-1,Banker72-19
21,6,72,50413,0,9.1.2020,Record Loan Application Information,0,38722,53599,5,customer6-1,Banker72-1,Banker72-19
21,6,72,50413,0,9.1.2020,Check Amount Legality,0,38722,53599,5,customer6-1,Banker72-1,Banker72-19
21,6,72,50413,0,9.1.2020,Client Assessment,0,38722,53599,5,customer6-1,Banker72-1,Banker72-19
21,6,72,50413,0,9.1.2020,Cancel Request,0,38722,53599,5,customer6-1,Banker72-1,Banker72-19
22,2,73,0,0,9.1.2020,Request Loan,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
22,2,73,0,0,9.1.2020,Check Employee Eligibility,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
22,2,73,27413,0,9.1.2020,Record Loan Application Information,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
22,2,73,27413,0,9.1.2020,Check Amount Legality,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
22,2,73,27413,0,9.1.2020,Client Assessment,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
22,2,73,27413,0,9.1.2020,Cancel Request,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
23,2,72,0,0,9.1.2020,Request Loan,0,53599,53599,5,Customer2-1,Banker72-1,Banker72-19
23,2,72,0,0,9.1.2020,Check Employee Eligibility,0,53599,53599,5,Customer2-1,Banker72-1,Banker72-19
23,2,72,40842,0,9.1.2020,Record Loan Application Information,0,53599,53599,5,Customer2-1,Banker72-1,Banker72-19
23,2,72,40842,0,9.1.2020,Check Amount Legality,0,53599,53599,5,Customer2-1,Banker72-1,Banker72-19
23,2,72,40842,0,9.1.2020,Client Assessment,0,53599,53599,5,Customer2-1,Banker72-1,Banker72-19
23,2,72,40842,0,9.1.2020,Cancel Request,0,53599,53599,5,Customer2-1,Banker72-1,Banker72-19
24,4,73,0,0,9.1.2020,Request Loan,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
24,4,73,0,0,9.1.2020,Check Employee Eligibility,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
24,4,73,53699,0,9.1.2020,Record Loan Application Information,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
24,4,73,53699,0,9.1.2020,Check Amount Legality,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
24,4,73,53699,0,9.1.2020,Client Assessment,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
24,4,73,53699,0,9.1.2020,Cancel Request,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
25,4,73,0,0,9.1.2020,Request Loan,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
25,4,73,0,0,9.1.2020,Check Employee Eligibility,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
25,4,73,60080,0,9.1.2020,Record Loan Application Information,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
25,4,73,60080,0,9.1.2020,Check Amount Legality,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
25,4,73,60080,0,9.1.2020,Client Assessment,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
25,4,73,60080,0,9.1.2020,Cancel Request,0,0,83537,6,Customer4-1,Banker73-1,Banker73-19
26,6,73,0,0,9.1.2020,Request Loan,0,38722,83537,6,customer6-1,Banker73-1,Banker73-19
26,6,73,0,0,9.1.2020,Check Employee Eligibility,0,38722,83537,6,customer6-1,Banker73-1,Banker73-19
26,6,73,65501,0,9.1.2020,Record Loan Application Information,0,38722,83537,6,customer6-1,Banker73-1,Banker73-19
26,6,73,65501,0,9.1.2020,Check Amount Legality,0,38722,83537,6,customer6-1,Banker73-1,Banker73-19
26,6,73,65501,0,9.1.2020,Client Assessment,0,38722,83537,6,customer6-1,Banker73-1,Banker73-19
26,6,73,65501,0,9.1.2020,Cancel Request,0,38722,83537,6,customer6-1,Banker73-1,Banker73-19
27,2,73,0,0,9.1.2020,Request Loan,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
27,2,73,0,0,9.1.2020,Check Employee Eligibility,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
27,2,73,29619,0,9.1.2020,Record Loan Application Information,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
27,2,73,29619,0,9.1.2020,Check Amount Legality,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
27,2,73,29619,0,9.1.2020,Client Assessment,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
27,2,73,29619,0,9.1.2020,Cancel Request,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-19
28,1,73,0,0,9.1.2020,Request Loan,0,44815,83537,6,Customer1-1,Banker73-1,Banker73-19
28,1,73,0,0,9.1.2020,Check Employee Eligibility,0,44815,83537,6,Customer1-1,Banker73-1,Banker73-19
28,1,73,53733,0,9.1.2020,Record Loan Application Information,0,44815,83537,6,Customer1-1,Banker73-1,Banker73-19
28,1,73,53733,0,9.1.2020,Check Amount Legality,0,44815,83537,6,Customer1-1,Banker73-1,Banker73-19
28,1,73,53733,0,9.1.2020,Client Assessment,0,44815,83537,6,Customer1-1,Banker73-1,Banker73-19
28,1,73,53733,0,9.1.2020,Cancel Request,0,44815,83537,6,Customer1-1,Banker73-1,Banker73-19
29,4,72,0,0,9.1.2020,Request Loan,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
29,4,72,0,0,9.1.2020,Check Employee Eligibility,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
29,4,72,49228,0,9.1.2020,Record Loan Application Information,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
29,4,72,49228,0,9.1.2020,Check Amount Legality,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
29,4,72,49228,0,9.1.2020,Client Assessment,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
29,4,72,49228,0,9.1.2020,Cancel Request,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
30,3,73,0,0,9.1.2020,Request Loan,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
30,3,73,0,0,9.1.2020,Check Employee Eligibility,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
30,3,73,66466,0,9.1.2020,Record Loan Application Information,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
30,3,73,66466,0,9.1.2020,Check Amount Legality,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
30,3,73,66466,0,9.1.2020,Client Assessment,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
30,3,73,66466,0,9.1.2020,Cancel Request,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
31,3,73,0,0,9.1.2020,Request Loan,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
31,3,73,0,0,9.1.2020,Check Employee Eligibility,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
31,3,73,66388,0,9.1.2020,Record Loan Application Information,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
31,3,73,66388,0,9.1.2020,Check Amount Legality,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
31,3,73,66388,0,9.1.2020,Client Assessment,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
31,3,73,66388,0,9.1.2020,Cancel Request,0,0,83537,6,Customer3-1,Banker73-1,Banker73-19
32,4,72,0,0,9.1.2020,Request Loan,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
32,4,72,0,0,9.1.2020,Check Employee Eligibility,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
32,4,72,33951,0,9.1.2020,Record Loan Application Information,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
32,4,72,33951,0,9.1.2020,Check Amount Legality,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
32,4,72,33951,0,9.1.2020,Client Assessment,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
32,4,72,33951,0,9.1.2020,Cancel Request,0,0,53599,5,Customer4-1,Banker72-1,Banker72-19
33,3,72,0,0,9.1.2020,Request Loan,0,0,53599,5,Customer3-1,Banker72-1,Banker72-19
33,3,72,0,0,9.1.2020,Check Employee Eligibility,0,0,53599,5,Customer3-1,Banker72-1,Banker72-19
33,3,72,64102,0,9.1.2020,Record Loan Application Information,0,0,53599,5,Customer3-1,Banker72-1,Banker72-19
33,3,72,64102,0,9.1.2020,Check Amount Legality,0,0,53599,5,Customer3-1,Banker72-1,Banker72-19
33,3,72,64102,0,9.1.2020,Client Assessment,0,0,53599,5,Customer3-1,Banker72-1,Banker72-19
33,3,72,64102,0,9.1.2020,Cancel Request,0,0,53599,5,Customer3-1,Banker72-1,Banker72-19
34,6,73,0,0,10.1.2020,Request Loan,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
34,6,73,0,0,10.1.2020,Check Employee Eligibility,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
34,6,73,67730,0,10.1.2020,Record Loan Application Information,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
34,6,73,67730,0,10.1.2020,Check Amount Legality,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
34,6,73,67730,0,10.1.2020,Client Assessment,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
34,6,73,67730,0,10.1.2020,Cancel Request,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
35,2,73,0,0,10.1.2020,Request Loan,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
35,2,73,0,0,10.1.2020,Check Employee Eligibility,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
35,2,73,26757,0,10.1.2020,Record Loan Application Information,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
35,2,73,26757,0,10.1.2020,Check Amount Legality,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
35,2,73,26757,0,10.1.2020,Client Assessment,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
35,2,73,26757,0,10.1.2020,Cancel Request,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
36,2,73,0,0,10.1.2020,Request Loan,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
36,2,73,0,0,10.1.2020,Check Employee Eligibility,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
36,2,73,69046,0,10.1.2020,Record Loan Application Information,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
36,2,73,69046,0,10.1.2020,Check Amount Legality,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
36,2,73,69046,0,10.1.2020,Client Assessment,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
36,2,73,69046,0,10.1.2020,Cancel Request,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
37,2,73,0,0,10.1.2020,Request Loan,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
37,2,73,0,0,10.1.2020,Check Employee Eligibility,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
37,2,73,54805,0,10.1.2020,Record Loan Application Information,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
37,2,73,54805,0,10.1.2020,Check Amount Legality,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
37,2,73,54805,0,10.1.2020,Client Assessment,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
37,2,73,54805,0,10.1.2020,Cancel Request,0,53599,83537,6,Customer2-1,Banker73-1,Banker73-110
38,6,73,0,0,10.1.2020,Request Loan,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
38,6,73,0,0,10.1.2020,Check Employee Eligibility,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
38,6,73,27975,0,10.1.2020,Record Loan Application Information,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
38,6,73,27975,0,10.1.2020,Check Amount Legality,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
38,6,73,27975,0,10.1.2020,Client Assessment,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
38,6,73,27975,0,10.1.2020,Cancel Request,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
39,3,72,0,0,10.1.2020,Request Loan,0,0,53599,5,Customer3-1,Banker72-1,Banker72-110
39,3,72,0,0,10.1.2020,Check Employee Eligibility,0,0,53599,5,Customer3-1,Banker72-1,Banker72-110
39,3,72,53073,0,10.1.2020,Record Loan Application Information,0,0,53599,5,Customer3-1,Banker72-1,Banker72-110
39,3,72,53073,0,10.1.2020,Check Amount Legality,0,0,53599,5,Customer3-1,Banker72-1,Banker72-110
39,3,72,53073,0,10.1.2020,Client Assessment,0,0,53599,5,Customer3-1,Banker72-1,Banker72-110
39,3,72,53073,0,10.1.2020,Cancel Request,0,0,53599,5,Customer3-1,Banker72-1,Banker72-110
40,6,73,0,0,10.1.2020,Request Loan,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
40,6,73,0,0,10.1.2020,Check Employee Eligibility,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
40,6,73,57287,0,10.1.2020,Record Loan Application Information,0,38722,83537,6,customer6-1,Banker73-1,Banker73-110
